Product,Release Year,Ranking Office,Ranking Gaming,Ranking Editing,Ranking General,Brand,Coating,Length (mm),Width (mm),Height (mm),Grip Width (mm),Ambidextrous,Left-Handed Friendly,Finger Rest,Default Weight (gm),Weight Distribution,Maximum Of Paired Devices,Battery Type,Connectivity,Cable Length (m),Mouse Feet Material,Switch Type,Switch Model,Total Number Of Buttons,Number Of Side Buttons,Profile Switching Button,Scroll Wheel Type,Software Windows Compatibility,Software macOS Compatibility
Zaunkoenig M2K,2021,5.4,9.3,5.9,9.3,Zaunkoenig,Matte,79.0,59.5,29.4,56.0,True Ambidextrous,Yes,No,23.06,Front-heavy,Wired,No Batteries,Wired,1.64,Virgin Grade PTFE,Mechanical,Omron D2F-01F,3,0,No,Notched Wheel,No,No
Keychron M4,2023,7.2,9.2,7.8,9.3,Keychron,Matte,86.0,53.6,32.0,52.0,Shape Only,Yes,No,37.5,Back-heavy,2,Rechargeable,Wireless,1.77,PTFE,Mechanical,Huano 80M Micro Switch,7,2,No,Notched Wheel,Yes,Yes
G-Wolves HSK Pro 4K,2023,6.7,9.3,7.6,9.4,G-Wolves,Matte,73.5,55.9,29.1,52.0,Shape Only,Yes,No,27.24,Centered,1,Rechargeable,Wireless,1.6,PTFE,Mechanical,ZIPPY DF3-P1L1,5,2,No,Notched Wheel,Yes,No
G-Wolves Fenrir Max,2025,6.9,8.3,6.8,8.6,G-Wolves,Matte,74.0,60.6,31.0,60.0,Shape Only,Yes,No,24.6,Centered,1,Rechargeable,Wireless,1.3,Virgin Grade PTFE,Mechanical,Huano Transparent Blue Shell Pink Dot,5,2,No,Notched Wheel,Yes,Yes
Logitech MX Master 4,2025,9.1,7.4,7.7,6.7,Logitech,Matte,129.8,88.0,51.0,61.0,No,No,Thumb,151.8,Centered,3,Rechargeable,Wireless,,PTFE,Mechanical,Not Specified,9,4,No,Notched Wheel + Free Wheel,Yes,Yes
Logitech G PRO X SUPERLIGHT 2c,2025,7.2,9.5,8.1,9.7,Logitech,Matte,118.0,61.0,38.6,59.0,No,Yes,No,50.38,Centered,1,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,LIGHTFORCE,5,2,Yes,Notched Wheel,Yes,Yes
Logitech M720 Triathlon,2016,8.3,7.1,7.5,6.3,Logitech,Matte,110.0,75.0,44.0,60.0,No,No,Thumb,134.81,Centered,3,1x AA,Wireless,,PTFE,Mechanical,Not Specified,10,4,No,Notched Wheel + Free Wheel,Yes,Yes
Keychron M6,2023,8.8,8.1,7.8,8.5,Keychron,Matte,122.5,75.3,50.8,56.0,No,No,Thumb,78.18,Centered,4,Rechargeable,Wireless,1.85,Virgin Grade PTFE,Mechanical,Huano 80M Micro Switch,8,2,No,Notched Wheel + Free Wheel,Yes,Yes
Razer Basilisk V3 Pro,2022,8.6,8.5,8.8,9.4,Razer,Matte,130.0,75.0,42.0,62.0,No,No,Thumb,112.98,Front-heavy,2,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,11,3,Yes,Notched Wheel + Free Wheel,Yes,Yes
VXE R1 Pro,2024,7.1,9.3,7.8,9.5,VXE,Matte,120.0,65.0,38.0,58.0,Shape Only,Yes,No,48.77,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Mechanical,Huano Ice Berry Pink Dot,6,2,No,Notched Wheel,Yes,Yes
